accountsapid,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Final_Churn,Final_churn_ProbabilityScore
1004799.0,0,0,1,0,0,0,0.06831193831805114
164149.0,0,1,1,0,1,0,0.002171216232181426
215846.0,1,1,0,1,2,1,0.9236471765801917
1018961.0,0,1,0,1,0,1,0.9992751427049027
1005763.0,1,1,0,1,1,0,0.9545084765515974
1022823.0,0,0,1,0,1,0,0.09585557722806894
1001885.0,1,1,1,0,2,1,0.37024903875984505
270780.0,1,1,0,1,2,1,0.9907657645485383
204429.0,1,0,0,1,0,1,0.9999988318738388
144654.0,1,1,0,1,2,1,0.9875175312668357
210619.0,0,0,1,0,0,0,0.011752357823802032
240318.0,1,1,1,0,1,0,0.0046080895817997335
814490.0,1,1,1,0,1,0,0.03731426359134014
155116.0,0,1,0,1,0,1,0.9983530934564564
226161.0,1,1,0,1,2,1,0.017983781351852416
148179.0,1,1,0,1,1,0,0.03529627699901947
1019929.0,0,1,0,1,0,1,0.99962743212298
1023404.0,0,0,1,0,0,0,0.38763435326539886
840414.0,1,0,0,1,2,1,0.9999737638851067
1018595.0,0,1,0,1,0,1,0.9958073632915986
215108.0,1,1,0,1,2,1,0.7846934507059448
160721.0,1,1,1,0,1,0,0.008068355760484388
265279.0,1,1,1,0,1,0,0.0010317139562396203
776231.0,1,1,1,0,1,0,0.05465401954036125
1002671.0,1,1,1,0,1,0,0.03191426900388256
820716.0,1,1,1,0,1,0,0.00018193302819477638
261566.0,0,0,1,0,0,0,0.09288132038506744
868086.0,0,1,0,1,0,1,0.9998377647327377
1006371.0,0,0,1,0,2,1,0.20611221379968891
846055.0,0,0,1,0,0,0,0.23565866479514583
858133.0,1,1,0,1,2,1,0.7638237813583395
1017920.0,0,1,1,0,1,0,0.0004674483246177562
283830.0,1,1,1,0,1,0,0.18976212489910946
711282.0,1,1,1,0,1,0,0.0976609178012263
1015762.0,0,1,0,1,2,1,0.8754677711880818
